Title,Release Year,Locations,Coordinates
180,2011,"Epic Roasthouse (399 Embarcadero), San Francisco",37.7908379 -122.3893566
180,2011,"Mason & California Streets (Nob Hill), San Francisco",37.791549 -122.4107938
180,2011,"Justin Herman Plaza, San Francisco",37.7951195 -122.3952007
180,2011,"200 block Market Street, San Francisco",37.7931347 -122.3965636
180,2011,"City Hall, San Francisco",37.7792597 -122.4192646
180,2011,"Polk & Larkin Streets, San Francisco",37.788051 -122.419729
180,2011,"Randall Museum, San Francisco",37.7644489 -122.4381707
180,2011,"555 Market St., San Francisco",37.7899845 -122.3998704
40 Days and 40 Nights,2002,"The Walden House, Buena Vista Park, San Francisco",37.7693647 -122.4431875
40 Days and 40 Nights,2002,"Caf� Trieste (609 Vallejo), San Francisco",37.7986623 -122.4073207
50 First Dates,2004,"Rainforest Caf� (145 Jefferson Street), San Francisco",37.8080569 -122.4147065
A Jitney Elopement,1915,"20th and Folsom Streets, San Francisco",37.7589107 -122.4147198
A Jitney Elopement,1915,"Golden Gate Park, San Francisco",37.7694208 -122.4862138
A Night Full of Rain,1978,"Embarcadero Freeway, San Francisco",37.7881524 -122.2512872
A Night Full of Rain,1978,"Fairmont Hotel (950 Mason Street, Nob Hill), San Francisco",37.7923723 -122.4105611
A Night Full of Rain,1978,"San Francisco Chronicle (901 Mission Street at 15th Street), San Francisco",37.7821582 -122.4065832
A Night Full of Rain,1978,"Broadway (North Beach), San Francisco",37.7984385 -122.4022479
A Smile Like Yours,1997,"75 California Street, San Francisco",37.7932094 -122.3972563
A Smile Like Yours ,1997,"Grace Cathedral Episcopal Church (1100 California Street), San Francisco",37.7918581 -122.4134328
A Smile Like Yours ,1997,"Hills Brothers Plaza (Embarcadero at Harrison Street), San Francisco",37.7893359 -122.3896545
A Smile Like Yours ,1997,"San Francisco International Airport, San Francisco",37.6213129 -122.3789554
A View to a Kill,1985,"City Hall, San Francisco",37.7792597 -122.4192646
A View to a Kill,1985,"Port of San Francisco , San Francisco",37.7968374 -122.3950767
Ant-Man,2015,"420 Jones St. at Ellis St., San Francisco",37.7852042 -122.412723
A View to a Kill,1985,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin), San Francisco",37.7766872 -122.3902418
A View to a Kill,1985,"Golden Gate Bridge, San Francisco",37.8190603 -122.4781232
A View to a Kill,1985,"Embarcadero Freeway, San Francisco",37.7881524 -122.2512872
A View to a Kill,1985,"Potrero Hill, San Francisco",37.7604929 -122.400869
A View to a Kill,1985,"City Hall, San Francisco",37.7792597 -122.4192646
A View to a Kill,1985,"Chinatown, San Francisco",37.7941378 -122.4077914
A View to a Kill,1985,"Burger Island (901 3rd Street, China Basin), San Francisco",37.7790779 -122.3927895
A View to a Kill,1985,"Van Ness Avenue, San Francisco",37.7917022 -122.4226899
A View to a Kill,1985,"Taylor and Jefferson Streets (Fisherman's Wharf), San Francisco",37.8082214 -122.4158081
About a Boy,2014,"Broderick from Fulton to McAlister, San Francisco",37.7878648 -122.4421325
About a Boy,2014,"Crissy Field, San Francisco",37.8040257 -122.4650165
About a Boy,2014,"Powell from Bush and Sutter, San Francisco",37.7891189 -122.4084207
After the Thin Man,1936,"Coit Tower, San Francisco",37.8023949 -122.4058222
Age of Adaline,2015,"Pier 50- end of the pier, San Francisco",37.7739758 -122.3871448
Age of Adaline,2015,"California @ Montgomery, San Francisco",37.7975865 -122.4037614
Age of Adaline,2015,"Montgomery/Green, San Francisco",37.80019 -122.4590764
Age of Adaline,2015,"Driving various SF Streets, San Francisco",37.80098510000001 -122.4267626
Age of Adaline,2015,"Plate Shots SF streets various, San Francisco",37.8001218 -122.4396871
Alcatraz,2012,"Filbert St. from Jones to Mason, San Francisco",37.8009441 -122.4116674
Alcatraz,2012,"Leavenworth from Filbert & Francisco St, San Francisco",37.8000609 -122.4191541
Alcatraz,2012,"Chestnut St. from Larkin to Columbus, San Francisco",37.802183 -122.4256201
Alcatraz,2012,"Francisco St from Larkin to Polk, San Francisco",37.7822605 -122.4130207
Alcatraz,2012,"Broadway from Mason to Taylor, San Francisco",37.7956513 -122.4132947
Alcatraz,2012,"Taylor St. from Broadway to Filbert, San Francisco",37.797071 -122.413562
Ant-Man,2015,"Broadway between Powell and Davis, San Francisco",37.796504 -122.4100932
Alexander's Ragtime Band,1938,"Cliff House (1090 Point Lobos Avenue), San Francisco",37.778507 -122.5139808
Alexander's Ragtime Band,1938,"San Francisco Bay, San Francisco",37.7749295 -122.4194155
Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill), San Francisco",37.7923723 -122.4105611
All About Eve,1950,"Curran Theater (445 Geary Street), San Francisco",37.7869708 -122.4105671
American Graffiti,1973,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District), San Francisco",37.7855915 -122.4211371
American Graffiti,1973,"3355 Geary Blvd., San Francisco",37.7811247 -122.4548393
Americana,2015,"St. Francis Episcopal Church (399 San Fernando Way), San Francisco",37.7303135 -122.4698163
Americana,2015,"Romolo Place @ Fresno St., San Francisco",37.7986013 -122.4063965
Americana,2015,"Palace of Fine Arts, San Francisco",37.8029577 -122.4491929
Americana,2015,"John Shelley Drive John McLaren Park, San Francisco",37.7221546 -122.4188879
Americana,2015,"Treasure Island, San Francisco",37.8235515 -122.370648
Americana,2015,"The San Francisco School (300 Gavin St.), San Francisco",37.7327817 -122.4113534
Americana,2015,"33 Spruce St, San Francisco",37.7903354 -122.4543759
Americana,2015,"Coi Restaurant (373 Broadway), San Francisco",37.7980647 -122.4034273
Americana,2015,"Foreign Cinema (2534 Mission), San Francisco",37.7564724 -122.4192824
Americana,2015,"Bernal Heights Park, San Francisco",37.7433416 -122.4139925
Americana,2015,"Jackson St. at Spruce, San Francisco",37.7899861 -122.4541352
Americana,2015,"679 Madrid St, San Francisco",37.7187545 -122.4346585
Americana,2015,"Roxie Theater (3117 16th St.), San Francisco",37.7646581 -122.422429
Americana,2015,"Variety Preview Room (582 Market St.), San Francisco",37.7894639 -122.401621
Americana,2015,"Laguna Honda Hospital; 375 Laguna Honda Blvd., San Francisco",37.747287 -122.4592344
Americana,2015,"3232 Jackson Ave., San Francisco",37.790931 -122.448797
Americana,2015,"20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs, San Francisco",37.7561106 -122.3871527
Ant-Man,2015,"Conzelman Rd at McCollough Rd and down Conzelman Rd., San Francisco",37.8337065 -122.4937375
Ant-Man,2015,"Lombard at Hyde, San Francisco",37.8020045 -122.4196371
Ant-Man,2015,"601 Buena Vista Ave West at Java St., San Francisco",37.766921 -122.4440326
Ant-Man,2015,"Columbus between Bay and Washington, San Francisco",37.8008473 -122.4099791
Ant-Man,2015,"California between Kearney and Davis, San Francisco",37.7749295 -122.4194155
Ant-Man,2015,"Pine between Kearney and Davis, San Francisco",37.7749295 -122.4194155
Ant-Man,2015,"Market between Stuart and Van Ness, San Francisco",37.7841403 -122.420773
Ant-Man,2015,"Grant between Bush and Broadway, San Francisco",37.7897897 -122.4096207
Ant-Man,2015,"Intersection of Broadway at Kearney, San Francisco",37.7959394 -122.4218895
Ant-Man,2015,"Intersection of California at Polk, San Francisco",37.7905896 -122.4206988
Ant-Man,2015,"Treasure Island, Building #1, Ave of the Palms, San Francisco",37.8172181 -122.3707037
Around the Fire,1998,"Ocean Beach, San Francisco",37.75939210000001 -122.510734
Attack of the Killer Tomatoes,1978,"Hyde Street Cable Car, San Francisco",37.7847198 -122.4076676
Ballers Season 3,2017,"Fairmont Hotel (950 Mason Street, Nob Hill), San Francisco",37.7923723 -122.4105611
Ballers Season 3,2017,"Embarcadero around Rincon Park, San Francisco",37.7915675 -122.3899424
Ballers Season 3,2017,"San Remo Hotel (2237 Mason), San Francisco",37.8042943 -122.413603
Ballers Season 3,2017,"Huntington Park (California & Taylor Streets, Nob Hill), San Francisco",37.7921814 -122.4121737
Ballers Season 3,2017,"Driving around Taylor/Pacific/Leavenworth, San Francisco",37.7960386 -122.4153519
Ballers Season 3,2017,"California and Jones St., San Francisco",37.791424 -122.4141308
Ballers Season 3,2017,"Another Caf�, 1191 Pine St at Leavenworth, San Francisco",37.7901035 -122.4153984
Basic Instinct,1992,"Yerba Buena Center for the Arts, San Francisco",37.7856437 -122.4021904
Basic Instinct,1992,"Transbay Terminal (Mission Street at 1st Street), San Francisco",37.7893387 -122.3924805
Basic Instinct,1992,"Tosca Caf� (242 Columbus Avenue), San Francisco",37.7976266 -122.4058736
Basic Instinct,1992,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park), San Francisco",37.7698293 -122.466105
Basic Instinct,1992,"Raw Hide II (280 Seventh Street), San Francisco",37.7768471 -122.4085215
Basic Instinct,1992,"Pier 7 (The Embarcadero), San Francisco",37.7986725 -122.3968247
Basic Instinct,1992,"Kearney Street (Telegraph Hill), San Francisco",37.8016977 -122.4062152
Big Eyes,2014,"Nobles Alley, San Francisco",37.8009834 -122.407411
Basic Instinct,1992,"Hall of Justice (850 Bryant Street), San Francisco",37.775471 -122.4037169
Basic Instinct,1992,"2930 Vallejo Street, San Francisco",37.79407380000001 -122.445618
Basic Instinct,1992,"Chinatown, San Francisco",37.7941378 -122.4077914
Basic Instinct,1992,"Gibb Street (Chinatown), San Francisco",37.7960309 -122.4044419
Basic Instinct,1992,"1158-70 Montgomery Street, San Francisco",37.799987 -122.403972
Basic Instinct,1992,"2104 Broadway, San Francisco",37.7949212 -122.4320907
Beautiful Boy,2018,"Divisadero between Broadway and Greenwich, San Francisco",37.7959394 -122.4218895
Beautiful Boy,2018,"Ohloff Recovery Center (601 Steiner St), San Francisco",37.7748567 -122.4330105
Beautiful Boy,2018,"Haight at Masonic, San Francisco",37.7702198 -122.4453661
Beautiful Boy,2018,"Tenderloin Neighborhood, San Francisco",37.7846598 -122.4145058
Beautiful Boy,2018,"Olympic Flame Caf�, 555 Geary St, San Francisco",37.786733 -122.4124366
Beautiful Boy,2018,"18th St at San Bruno Ave., San Francisco",37.7620697 -122.4052339
Beautiful Boy,2018,"Wisconsin between 19th and 20th St, San Francisco",37.7592963 -122.3991631
Bedazzled,2000,"1155 Filbert Street at Hyde, San Francisco",37.8001415 -122.4185342
Bedazzled,2000,"Washington Square Park (Filbert, between Stockton and Powell), San Francisco",37.8008473 -122.4099791
Bedazzled,2000,"Vaillancourt Fountain (Justin Herman Plaza), San Francisco",37.7955212 -122.3953556
Bedazzled,2000,"Montgomery & Market Streets, San Francisco",37.7887998 -122.4020053
Bedazzled,2000,"City Hall, San Francisco",37.7792597 -122.4192646
Bicentennial Man,1999,"City Hall, San Francisco",37.7792597 -122.4192646
Bicentennial Man,1999,"Golden Gate Bridge, San Francisco",37.8190603 -122.4781232
Bicentennial Man,1999,"Treasure Island, San Francisco",37.8235515 -122.370648
Bicentennial Man,1999,"Postcard Row, Alamo Square, Hayes Valley, San Francisco",37.7762593 -122.432758
Bicentennial Man,1999,"Grace Cathedral Episcopal Church (1100 California Street), San Francisco",37.7918581 -122.4134328
Big Eyes,2014,"Caffe Trieste, San Francisco",37.7986623 -122.4073207
Big Eyes,2014,"Palace of Fine Arts, San Francisco",37.8029577 -122.4491929
Big Eyes,2014,"1101 Filbert St. , San Francisco",37.8001923 -122.4178135
Big Eyes,2014,"Saints Peter & Paul Church, San Francisco",37.8013901 -122.4101618
Big Eyes,2014,"Green St. & Grant Ave., San Francisco",37.79971219999999 -122.4074155
Big Eyes,2014,"Filbert St. & Leavenworth, San Francisco",37.8003487 -122.4176339
Big Eyes,2014,"Pine St. & Grant, San Francisco",37.7915062 -122.4057618
Big Eyes,2014,"Way Faire Inn on Leidesdorff, San Francisco",37.7934535 -122.402087
Big Eyes,2014,"Harry's Bar on Fillmore, San Francisco",37.7883499 -122.4334685
Big Sur,2013,"Tosca Caf� (242 Columbus Avenue, North Beach), San Francisco",37.7976266 -122.4058736
Birdman of Alcatraz,1962,"Alcatraz Island, San Francisco",37.8269775 -122.4229555
Birdman of Alcatraz,1962,"Pier 43 1/2, San Francisco",37.809041 -122.414528
Birth of the Dragon,2016,"Lands End Trail at Eagles Point/ Lincoln Park Golf Course, San Francisco",37.78670049999999 -122.4948301
Birth of the Dragon,2016,"Pier 45 - Jeremiah O'Brien Liberty Ship, San Francisco",37.8110638 -122.4181442
Birth of the Dragon,2016,"Leavenworth at Green, San Francisco",37.7985017 -122.4172437
Birth of the Dragon,2016,"Leavenworth at Union, San Francisco",37.7994171 -122.4174331
Birth of the Dragon,2016,"Hyde at Union, San Francisco",37.7992091 -122.4190745
Birth of the Dragon,2016,"California at Grant, San Francisco",37.7924638 -122.405954
Birth of the Dragon,2016,"Grant between Bush and Broadway, San Francisco",37.7897897 -122.4096207
Birth of the Dragon,2016,"California at Mason, San Francisco",37.7918421 -122.4108428
Birth of the Dragon,2016,"Spofford between Clay and Washington, San Francisco",37.7939891 -122.4156965
Birth of the Dragon,2016,"Twin Peaks Blvd., San Francisco",37.7534184 -122.4481761
Birth of the Dragon,2016,"Waverly Pl between Washington and Sacramento, San Francisco",37.7937209 -122.4066555
Blue Jasmine,2013,"Jones & Pacific, San Francisco",37.7958902 -122.4150305
Blue Jasmine,2013,"Pacific & Divisadero, San Francisco",37.7925186 -122.44136
Blue Jasmine,2013,"Lombard & Hyde, San Francisco",37.8020045 -122.4196371
Blue Jasmine,2013,"5546 Geary Ave, San Francisco",37.7805944 -122.4792302
Blue Jasmine,2013,"2898 Broadway, San Francisco",37.793335 -122.44471
Blue Jasmine,2013,"Motel Capri, San Francisco",37.79918500000001 -122.433029
