Title,Release_Year,Locations,Production_Company,Distributor,Director,Writer,Actor1,Actor2,Actor3,Coordinates
A View to a Kill,1985,"City Hall, San Francisco",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.7792597 -122.4192646
A View to a Kill,1985,"Port of San Francisco , San Francisco",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.7968374 -122.3950767
A View to a Kill,1985,"Golden Gate Bridge, San Francisco",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.8190603 -122.4781232
A View to a Kill,1985,"Embarcadero Freeway, San Francisco",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.7881524 -122.2512872
A View to a Kill,1985,"Potrero Hill, San Francisco",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.7604929 -122.400869
A View to a Kill,1985,"City Hall, San Francisco",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.7792597 -122.4192646
A View to a Kill,1985,"Chinatown, San Francisco",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.7941378 -122.4077914
A View to a Kill,1985,"Van Ness Avenue, San Francisco",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.7917022 -122.4226899
A View to a Kill,1985,"Taylor and Jefferson Streets (Fisherman's Wharf), San Francisco",Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,37.8082214 -122.4158081
After the Thin Man,1936,"Coit Tower, San Francisco",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich,William Powell,Myrna Loy,James Stewart,37.8023949 -122.4058222
Alexander's Ragtime Band,1938,"Cliff House (1090 Point Lobos Avenue), San Francisco",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,37.7784764 -122.513963
Alexander's Ragtime Band,1938,"San Francisco Bay, San Francisco",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,37.7749295 -122.4194155
Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill), San Francisco",Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,37.7923723 -122.4105611
All About Eve,1950,"Curran Theater (445 Geary Street), San Francisco",Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,37.7869708 -122.4105671
American Graffiti,1973,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District), San Francisco",Universal Pictures,Universal Pictures',George Lucas,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,37.7841099 -122.4045148
American Graffiti,1973,"3355 Geary Blvd., San Francisco",Universal Pictures,Universal Pictures',George Lucas,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,37.7811247 -122.4548393
Ballers Season 3,2017,"Fairmont Hotel (950 Mason Street, Nob Hill), San Francisco","Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller,37.7923723 -122.4105611
Ballers Season 3,2017,"Embarcadero around Rincon Park, San Francisco","Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller,37.7915675 -122.3899424
Ballers Season 3,2017,"San Remo Hotel (2237 Mason), San Francisco","Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller,37.8042943 -122.413603
Ballers Season 3,2017,"Huntington Park (California & Taylor Streets, Nob Hill), San Francisco","Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller,37.7921814 -122.4121737
Ballers Season 3,2017,"California and Jones St., San Francisco","Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller,37.791424 -122.4141308
Ballers Season 3,2017,"Another Caf�, 1191 Pine St at Leavenworth, San Francisco","Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller,37.7901035 -122.4153984
Basic Instinct,1992,"Yerba Buena Center for the Arts, San Francisco",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,37.7856437 -122.4021904
Basic Instinct,1992,"Transbay Terminal (Mission Street at 1st Street), San Francisco",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,37.7898125 -122.3931372
